VREQ1,VREQ2,VREQ3,VREQ4,VREQ5,VREQ6,VREQ7,SPES1,SPES2,SPES3,SPES4,TLX-Mental,TLX-Physical,TLX-Perf,TLX-Effort,TLX-Frustration
3,5,5,4,5,3,4,5,5,5,3,5,4,5,7,4
2,4,2,3,3,5,3,4,5,4,4,6,7,4,7,4
4,4,4,3,4,5,4,5,5,4,5,4,6,5,7,3
4,4,4,3,4,2,3,4,5,3,3,2,6,3,7,4
3,4,4,3,4,5,2,5,3,5,2,7,7,2,7,6
4,5,4,5,4,4,3,3,4,4,4,6,6,4,7,3
3,5,5,4,5,3,4,4,5,4,4,5,5,4,6,4
4,4,4,5,4,4,4,4,5,4,4,6,6,4,6,4
2,4,2,3,4,3,4,3,4,4,3,3,6,3,6,4
2,3,2,1,2,5,3,4,5,2,3,7,7,3,6,6
2,5,3,3,4,5,4,5,5,5,5,2,7,5,7,2
4,5,4,4,4,5,4,4,4,4,5,5,5,3,6,3
